 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
 彰 化 縣 , 男 ," 663,500 "," 5,453 "," 23,332 "," 7,007 "," 5,700 "," 4,901 "," 5,724 "," 31,099 "," 40,608 "," 46,482 "," 49,110 "," 51,971 "," 58,307 "," 52,441 "," 46,887 "," 49,349 "," 50,783 "," 44,986 "," 36,251 "," 21,669 "," 20,854 "," 16,310 "," 10,961 "," 5,023 "," 1,384 ", 209 , 31 
, 女 ," 632,513 "," 4,908 "," 21,468 "," 6,409 "," 5,435 "," 4,471 "," 5,153 "," 28,117 "," 36,570 "," 42,612 "," 44,507 "," 47,830 "," 55,575 "," 48,965 "," 43,173 "," 44,923 "," 46,824 "," 42,153 "," 35,278 "," 21,861 "," 22,354 "," 19,721 "," 14,521 "," 7,664 "," 2,893 ", 524 , 72 
, 計 ," 517,222 "," 3,175 "," 14,562 "," 4,200 "," 3,562 "," 3,253 "," 3,547 "," 20,987 "," 28,771 "," 35,335 "," 37,061 "," 36,987 "," 41,008 "," 36,144 "," 36,619 "," 40,410 "," 42,904 "," 37,883 "," 31,435 "," 19,310 "," 19,296 "," 15,810 "," 11,368 "," 5,895 "," 1,849 ", 373 , 40 
 南 投 縣 , 男 ," 265,474 "," 1,638 "," 7,563 "," 2,191 "," 1,823 "," 1,696 "," 1,853 "," 10,812 "," 15,026 "," 18,174 "," 19,346 "," 19,302 "," 21,481 "," 18,713 "," 19,001 "," 21,420 "," 22,469 "," 19,668 "," 16,176 "," 9,549 "," 9,220 "," 7,338 "," 5,116 "," 2,580 ", 733 , 134 , 15 
, 女 ," 251,748 "," 1,537 "," 6,999 "," 2,009 "," 1,739 "," 1,557 "," 1,694 "," 10,175 "," 13,745 "," 17,161 "," 17,715 "," 17,685 "," 19,527 "," 17,431 "," 17,618 "," 18,990 "," 20,435 "," 18,215 "," 15,259 "," 9,761 "," 10,076 "," 8,472 "," 6,252 "," 3,315 "," 1,116 ", 239 , 25 
, 計 ," 707,792 "," 4,647 "," 21,354 "," 6,179 "," 5,240 "," 4,612 "," 5,323 "," 29,990 "," 40,522 "," 45,732 "," 44,887 "," 48,637 "," 57,794 "," 54,623 "," 50,756 "," 53,726 "," 53,911 "," 47,715 "," 41,869 "," 28,501 "," 29,811 "," 24,635 "," 17,218 "," 8,342 "," 2,580 ", 475 , 67 
 雲 林 縣 , 男 ," 368,457 "," 2,367 "," 11,229 "," 3,253 "," 2,729 "," 2,439 "," 2,808 "," 15,898 "," 21,246 "," 24,090 "," 23,478 "," 25,063 "," 29,689 "," 28,696 "," 27,796 "," 30,610 "," 30,153 "," 25,708 "," 22,155 "," 14,080 "," 14,111 "," 10,950 "," 7,047 "," 3,146 ", 799 , 133 , 13 
, 女 ," 339,335 "," 2,280 "," 10,125 "," 2,926 "," 2,511 "," 2,173 "," 2,515 "," 14,092 "," 19,276 "," 21,642 "," 21,409 "," 23,574 "," 28,105 "," 25,927 "," 22,960 "," 23,116 "," 23,758 "," 22,007 "," 19,714 "," 14,421 "," 15,700 "," 13,685 "," 10,171 "," 5,196 "," 1,781 ", 342 , 54 
, 計 ," 529,229 "," 2,888 "," 13,705 "," 3,920 "," 3,388 "," 2,988 "," 3,409 "," 19,509 "," 27,252 "," 33,891 "," 35,309 "," 36,131 "," 40,591 "," 37,985 "," 38,131 "," 42,179 "," 44,132 "," 37,986 "," 32,581 "," 20,766 "," 22,329 "," 19,690 "," 14,430 "," 7,005 "," 2,235 ", 442 , 62 
 嘉 義 縣 , 男 ," 275,686 "," 1,511 "," 7,170 "," 2,052 "," 1,743 "," 1,546 "," 1,829 "," 10,205 "," 14,331 "," 17,645 "," 18,341 "," 18,902 "," 21,165 "," 19,899 "," 20,590 "," 23,833 "," 24,767 "," 20,770 "," 17,166 "," 10,216 "," 10,438 "," 8,822 "," 6,141 "," 2,838 ", 769 , 150 , 17 
, 女 ," 253,543 "," 1,377 "," 6,535 "," 1,868 "," 1,645 "," 1,442 "," 1,580 "," 9,304 "," 12,921 "," 16,246 "," 16,968 "," 17,229 "," 19,426 "," 18,086 "," 17,541 "," 18,346 "," 19,365 "," 17,216 "," 15,415 "," 10,550 "," 11,891 "," 10,868 "," 8,289 "," 4,167 "," 1,466 ", 292 , 45 
, 計 ," 852,286 "," 4,778 "," 22,529 "," 6,495 "," 5,430 "," 4,963 "," 5,641 "," 33,473 "," 46,269 "," 58,592 "," 59,274 "," 59,909 "," 68,229 "," 64,698 "," 63,093 "," 68,640 "," 70,323 "," 63,496 "," 53,612 "," 32,431 "," 30,749 "," 24,453 "," 16,771 "," 7,957 "," 2,510 ", 419 , 81 
 屏 東 縣 , 男 ," 437,086 "," 2,473 "," 11,822 "," 3,467 "," 2,789 "," 2,650 "," 2,916 "," 17,576 "," 24,037 "," 30,591 "," 30,591 "," 31,160 "," 35,477 "," 33,673 "," 32,758 "," 36,454 "," 36,664 "," 32,049 "," 26,956 "," 15,878 "," 14,796 "," 11,411 "," 7,725 "," 3,751 "," 1,039 ", 164 , 41 
, 女 ," 415,200 "," 2,305 "," 10,707 "," 3,028 "," 2,641 "," 2,313 "," 2,725 "," 15,897 "," 22,232 "," 28,001 "," 28,683 "," 28,749 "," 32,752 "," 31,025 "," 30,335 "," 32,186 "," 33,659 "," 31,447 "," 26,656 "," 16,553 "," 15,953 "," 13,042 "," 9,046 "," 4,206 "," 1,471 ", 255 , 40 
, 計 ," 224,821 "," 1,585 "," 6,958 "," 1,945 "," 1,752 "," 1,563 "," 1,698 "," 9,678 "," 12,593 "," 15,091 "," 15,254 "," 14,896 "," 17,174 "," 16,695 "," 17,687 "," 18,264 "," 18,265 "," 16,290 "," 13,565 "," 8,416 "," 7,921 "," 6,284 "," 4,485 "," 2,608 ", 904 , 173 , 35 
 臺 東 縣 , 男 ," 116,883 ", 849 ," 3,594 "," 1,034 ", 878 , 800 , 882 ," 5,120 "," 6,567 "," 7,823 "," 8,014 "," 7,910 "," 9,094 "," 8,875 "," 9,631 "," 10,149 "," 9,784 "," 8,377 "," 6,567 "," 4,006 "," 3,636 "," 2,801 "," 2,127 "," 1,392 ", 459 , 87 , 21 
, 女 ," 107,938 ", 736 ," 3,364 ", 911 , 874 , 763 , 816 ," 4,558 "," 6,026 "," 7,268 "," 7,240 "," 6,986 "," 8,080 "," 7,820 "," 8,056 "," 8,115 "," 8,481 "," 7,913 "," 6,998 "," 4,410 "," 4,285 "," 3,483 "," 2,358 "," 1,216 ", 445 , 86 , 14 
, 計 ," 333,897 "," 2,585 "," 10,315 "," 2,916 "," 2,580 "," 2,327 "," 2,492 "," 13,842 "," 18,330 "," 22,932 "," 23,348 "," 22,497 "," 26,386 "," 25,232 "," 25,357 "," 26,265 "," 26,867 "," 25,259 "," 20,565 "," 12,491 "," 11,245 "," 8,582 "," 6,317 "," 3,814 "," 1,343 ", 255 , 70 
 花 蓮 縣 , 男 ," 171,016 "," 1,338 "," 5,433 "," 1,523 "," 1,384 "," 1,218 "," 1,308 "," 7,239 "," 9,580 "," 11,865 "," 12,014 "," 11,775 "," 13,834 "," 13,066 "," 13,060 "," 13,975 "," 13,759 "," 12,835 "," 10,143 "," 5,895 "," 5,183 "," 3,823 "," 3,152 "," 2,152 ", 703 , 144 , 48 
, 女 ," 162,881 "," 1,247 "," 4,882 "," 1,393 "," 1,196 "," 1,109 "," 1,184 "," 6,603 "," 8,750 "," 11,067 "," 11,334 "," 10,722 "," 12,552 "," 12,166 "," 12,297 "," 12,290 "," 13,108 "," 12,424 "," 10,422 "," 6,596 "," 6,062 "," 4,759 "," 3,165 "," 1,662 ", 640 , 111 , 22 
, 計 ," 100,400 ", 827 ," 3,150 ", 998 , 815 , 647 , 690 ," 3,521 "," 4,777 "," 6,531 "," 7,815 "," 7,411 "," 8,469 "," 8,066 "," 7,417 "," 7,797 "," 7,688 "," 6,849 "," 5,715 "," 3,519 "," 3,227 "," 3,112 "," 2,561 "," 1,331 ", 525 , 80 , 12 
 澎 湖 縣 , 男 ," 51,711 ", 437 ," 1,609 ", 523 , 400 , 339 , 347 ," 1,821 "," 2,550 "," 3,410 "," 4,112 "," 3,830 "," 4,239 "," 4,132 "," 3,947 "," 4,258 "," 4,136 "," 3,690 "," 2,845 "," 1,684 "," 1,551 "," 1,461 "," 1,179 ", 587 , 199 , 30 , 4 
, 女 ," 48,689 ", 390 ," 1,541 ", 475 , 415 , 308 , 343 ," 1,700 "," 2,227 "," 3,121 "," 3,703 "," 3,581 "," 4,230 "," 3,934 "," 3,470 "," 3,539 "," 3,552 "," 3,159 "," 2,870 "," 1,835 "," 1,676 "," 1,651 "," 1,382 ", 744 , 326 , 50 , 8 
, 計 ," 374,914 "," 1,988 "," 8,852 "," 2,422 "," 1,975 "," 2,025 "," 2,430 "," 14,476 "," 20,161 "," 25,560 "," 27,075 "," 25,490 "," 28,702 "," 28,437 "," 29,716 "," 32,053 "," 33,169 "," 29,961 "," 24,332 "," 12,526 "," 12,066 "," 8,811 "," 6,194 "," 3,715 "," 1,290 ", 269 , 71 
 基 隆 市 , 男 ," 188,649 "," 1,043 "," 4,530 "," 1,238 ", 999 ," 1,052 "," 1,241 "," 7,573 "," 10,543 "," 13,304 "," 14,207 "," 13,314 "," 14,814 "," 14,297 "," 14,865 "," 16,193 "," 16,730 "," 14,761 "," 11,760 "," 5,927 "," 5,467 "," 3,773 "," 2,916 "," 1,845 ", 613 , 136 , 38 
, 女 ," 186,265 ", 945 ," 4,322 "," 1,184 ", 976 , 973 ," 1,189 "," 6,903 "," 9,618 "," 12,256 "," 12,868 "," 12,176 "," 13,888 "," 14,140 "," 14,851 "," 15,860 "," 16,439 "," 15,200 "," 12,572 "," 6,599 "," 6,599 "," 5,038 "," 3,278 "," 1,870 ", 677 , 133 , 33 
, 計 ," 428,483 "," 4,666 "," 20,728 "," 6,062 "," 5,190 "," 4,416 "," 5,060 "," 24,888 "," 27,997 "," 28,439 "," 27,350 "," 27,952 "," 39,602 "," 39,780 "," 35,567 "," 32,691 "," 30,245 "," 25,832 "," 20,714 "," 12,180 "," 10,642 "," 7,755 "," 5,944 "," 3,805 "," 1,371 ", 261 , 74 
 新 竹 市 , 男 ," 212,183 "," 2,447 "," 10,779 "," 3,098 "," 2,737 "," 2,310 "," 2,634 "," 13,094 "," 14,663 "," 14,689 "," 14,064 "," 13,914 "," 18,800 "," 19,273 "," 17,391 "," 16,367 "," 15,071 "," 12,548 "," 9,849 "," 5,603 "," 4,601 "," 3,291 "," 2,855 "," 2,005 ", 700 , 131 , 48 
, 女 ," 216,300 "," 2,219 "," 9,949 "," 2,964 "," 2,453 "," 2,106 "," 2,426 "," 11,794 "," 13,334 "," 13,750 "," 13,286 "," 14,038 "," 20,802 "," 20,507 "," 18,176 "," 16,324 "," 15,174 "," 13,284 "," 10,865 "," 6,577 "," 6,041 "," 4,464 "," 3,089 "," 1,800 ", 671 , 130 , 26 
, 計 ," 270,872 "," 1,813 "," 8,307 "," 2,217 "," 2,025 "," 1,871 "," 2,194 "," 13,382 "," 18,971 "," 20,059 "," 18,392 "," 18,295 "," 21,317 "," 21,396 "," 20,971 "," 21,589 "," 20,641 "," 18,342 "," 15,259 "," 9,251 "," 8,287 "," 6,505 "," 4,575 "," 2,522 ", 808 , 166 , 24 
 嘉 義 市 , 男 ," 132,646 ", 955 ," 4,335 "," 1,136 "," 1,088 ", 979 ," 1,132 "," 7,059 "," 9,900 "," 10,319 "," 9,585 "," 9,292 "," 10,443 "," 9,921 "," 9,736 "," 10,413 "," 10,026 "," 8,953 "," 7,221 "," 4,295 "," 3,673 "," 2,788 "," 2,059 "," 1,212 ", 382 , 65 , 14 
, 女 ," 138,226 ", 858 ," 3,972 "," 1,081 ", 937 , 892 ," 1,062 "," 6,323 "," 9,071 "," 9,740 "," 8,807 "," 9,003 "," 10,874 "," 11,475 "," 11,235 "," 11,176 "," 10,615 "," 9,389 "," 8,038 "," 4,956 "," 4,614 "," 3,717 "," 2,516 "," 1,310 ", 426 , 101 , 10 
, 計 ," 132,878 "," 1,353 "," 5,020 "," 1,586 "," 1,290 "," 1,062 "," 1,082 "," 4,163 "," 4,675 "," 8,417 "," 11,096 "," 10,492 "," 10,983 "," 10,223 "," 10,406 "," 11,504 "," 11,465 "," 10,988 "," 7,405 "," 4,275 "," 3,487 "," 3,070 "," 2,009 "," 1,128 ", 509 , 153 , 57 
 福 建 省 , 男 ," 67,610 ", 707 ," 2,589 ", 796 , 702 , 550 , 541 ," 2,176 "," 2,454 "," 4,221 "," 5,604 "," 5,281 "," 5,374 "," 5,013 "," 5,467 "," 6,044 "," 6,013 "," 5,764 "," 3,832 "," 2,251 "," 1,792 "," 1,563 ", 869 , 366 , 169 , 41 , 20 
, 女 ," 65,268 ", 646 ," 2,431 ", 790 , 588 , 512 , 541 ," 1,987 "," 2,221 "," 4,196 "," 5,492 "," 5,211 "," 5,609 "," 5,210 "," 4,939 "," 5,460 "," 5,452 "," 5,224 "," 3,573 "," 2,024 "," 1,695 "," 1,507 "," 1,140 ", 762 , 340 , 112 , 37 
, 計 ," 120,713 "," 1,210 "," 4,529 "," 1,440 "," 1,145 ", 973 , 971 ," 3,717 "," 4,152 "," 7,689 "," 10,225 "," 9,589 "," 9,897 "," 9,174 "," 9,398 "," 10,500 "," 10,352 "," 9,970 "," 6,757 "," 3,875 "," 3,262 "," 2,874 "," 1,853 "," 1,039 ", 458 , 139 , 54 
 金 門 縣 , 男 ," 60,687 ", 632 ," 2,330 ", 723 , 626 , 505 , 476 ," 1,932 "," 2,169 "," 3,820 "," 5,085 "," 4,775 "," 4,782 "," 4,425 "," 4,875 "," 5,426 "," 5,336 "," 5,174 "," 3,440 "," 2,018 "," 1,661 "," 1,470 ", 807 , 327 , 150 , 35 , 18 
, 女 ," 60,026 ", 578 ," 2,199 ", 717 , 519 , 468 , 495 ," 1,785 "," 1,983 "," 3,869 "," 5,140 "," 4,814 "," 5,115 "," 4,749 "," 4,523 "," 5,074 "," 5,016 "," 4,796 "," 3,317 "," 1,857 "," 1,601 "," 1,404 "," 1,046 ", 712 , 308 , 104 , 36 
, 計 ," 12,165 ", 143 , 491 , 146 , 145 , 89 , 111 , 446 , 523 , 728 , 871 , 903 ," 1,086 "," 1,049 "," 1,008 "," 1,004 "," 1,113 "," 1,018 ", 648 , 400 , 225 , 196 , 156 , 89 , 51 , 14 , 3 
 連 江 縣 , 男 ," 6,923 ", 75 , 259 , 73 , 76 , 45 , 65 , 244 , 285 , 401 , 519 , 506 , 592 , 588 , 592 , 618 , 677 , 590 , 392 , 233 , 131 , 93 , 62 , 39 , 19 , 6 , 2 
, 女 ," 5,242 ", 68 , 232 , 73 , 69 , 44 , 46 , 202 , 238 , 327 , 352 , 397 , 494 , 461 , 416 , 386 , 436 , 428 , 256 , 167 , 94 , 103 , 94 , 50 , 32 , 8 , 1 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司103年1月8日編製
          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
